"07230: Prisindeks for brukte boliger, etter år, statistikkvariabel og region"

"år";"statistikkvariabel";"Hele landet";"Oslo med Bærum";"Stavanger";"Bergen";"Trondheim";"Akershus uten Bærum";"Østfold, Buskerud, Vestfold og Telemark";"Innlandet";"Agder og Rogaland uten Stavanger";"Møre og Romsdal og Vestland uten Bergen";"Trøndelag uten Trondheim";"Nord-Norge"
"2005";"Prisindeks for brukte boliger";54.8;52.4;50.1;54.8;54.5;54.3;58.0;60.3;53.4;56.9;52.0;55.0
"2006";"Prisindeks for brukte boliger";62.3;60.4;62.8;64.4;60.7;61.1;63.5;66.1;62.5;63.8;58.9;62.4
"2007";"Prisindeks for brukte boliger";70.1;67.2;75.3;70.0;65.0;69.4;70.9;72.2;74.9;72.1;65.2;71.0
"2008";"Prisindeks for brukte boliger";69.4;64.2;75.9;64.3;62.9;68.6;71.4;72.5;78.2;73.2;67.2;69.8
"2009";"Prisindeks for brukte boliger";70.7;66.3;76.7;64.8;64.3;69.0;72.4;74.2;78.6;76.6;67.3;70.2
"2010";"Prisindeks for brukte boliger";76.5;72.0;87.8;72.3;72.0;74.0;77.3;79.1;85.3;80.6;73.3;76.2
"2011";"Prisindeks for brukte boliger";82.6;79.1;96.2;79.4;79.9;79.1;82.1;83.3;92.2;86.5;80.8;79.8
"2012";"Prisindeks for brukte boliger";88.2;85.5;103.5;84.5;86.6;84.6;87.3;87.5;96.6;90.6;87.7;86.2
"2013";"Prisindeks for brukte boliger";91.8;88.2;106.0;89.1;91.7;89.5;90.8;90.6;98.8;94.3;91.9;91.1
"2014";"Prisindeks for brukte boliger";94.3;90.7;104.0;93.0;94.6;91.8;93.7;94.4;99.5;96.0;95.2;95.6
"2015";"Prisindeks for brukte boliger";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"2016";"Prisindeks for brukte boliger";107.0;115.5;94.1;100.9;106.9;110.5;107.5;105.8;99.0;103.6;105.3;108.3
"2017";"Prisindeks for brukte boliger";112.4;124.4;98.6;102.8;110.5;121.1;112.6;113.5;100.1;104.9;108.7;112.9
"2018";"Prisindeks for brukte boliger";114.0;125.5;97.8;102.9;111.0;122.4;117.0;116.8;100.3;106.2;108.8;115.1
"2019";"Prisindeks for brukte boliger";116.8;130.4;97.8;105.5;111.4;125.5;120.9;118.8;101.6;107.3;109.4;118.7
"2020";"Prisindeks for brukte boliger";121.8;137.3;101.7;111.0;115.5;130.5;127.9;122.2;104.3;109.4;113.7;122.3
"2021";"Prisindeks for brukte boliger";134.5;152.1;110.9;120.4;127.9;145.8;143.6;134.4;114.3;118.6;124.5;134.5
"2022";"Prisindeks for brukte boliger";141.6;158.9;116.3;126.6;136.3;149.8;151.6;140.5;122.3;127.8;131.5;142.5
"2023";"Prisindeks for brukte boliger";140.8;157.4;118.2;126.0;135.2;147.1;149.1;138.5;125.9;128.4;132.9;140.4
"2024";"Prisindeks for brukte boliger";144.6;162.9;124.8;132.7;136.8;148.9;151.1;138.7;132.4;132.8;134.8;142.0
