"år";"statistikkvariabel";"1345 Ledere av utdanning og undervisning Gjennomsnitt";"2310 Universitets- og høyskolelektorer/-lærere Gjennomsnitt";"2330 Lektorer mv. (videregående skole) Gjennomsnitt";"2512 Programvareutviklere Gjennomsnitt"
"2015";"Månedslønn (kr)";53450;47400;44920;53560
"2016";"Månedslønn (kr)";55510;47900;45970;55450
"2017";"Månedslønn (kr)";57330;48840;47560;56580
"2018";"Månedslønn (kr)";59040;49930;48220;58630
"2019";"Månedslønn (kr)";61400;51530;49810;60460
"2020";"Månedslønn (kr)";61890;52260;49870;62110
"2021";"Månedslønn (kr)";64230;53550;52390;65100
"2022";"Månedslønn (kr)";67020;55580;52840;68380
"2023";"Månedslønn (kr)";70840;58760;57040;72370
"2024";"Månedslønn (kr)";74060;60920;60090;76180
