Level,Name,Race,Class
60,Melbert,Dwarf,Paladin
60,PedroPedro,Human,Warlock
60,KnutOve43,Gnome,Mage
60,exelcelsiorX,Gnome,Warrior
60,Datamus,Dwarf,Hunter
60,AlbionTerje,Night Elf,Rogue
60,CarlaCute,Gnome,Rogue
60,lordrolf,Gnome,Warrior
60,Guthild,Human,Rogue
60,perryx,Dwarf,Rogue
60,benjamin_reichwald,Night Elf,Warrior
60,commander_data,Dwarf,Rogue
60,martin_mortensrud,Dwarf,Paladin
60,johnperry,Gnome,Mage
60,SugoiOtakuGamer,Dwarf,Paladin
60,xonotic,Human,Rogue
60,protonkanon34,Human,Mage
60,arnebjarne1985,Dwarf,Warrior
60,chiefkeefspleef,Dwarf,Hunter
60,rotleif,Night Elf,Priest
60,xleonhardeuler,Night Elf,Hunter
60,MasterBlaster92,Dwarf,Warrior
60,SteinhardeStian,Gnome,Mage
60,worf,Gnome,Warlock
60,gleepglorpzoop,Human,Paladin
60,3blue1brown,Human,Paladin
60,agmund_aggro,Gnome,Warrior
60,aimermaster99,Gnome,Mage
60,gamerGF,Night Elf,Hunter
60,Amelia,Dwarf,Priest
60,Trond,Human,Warrior
60,politikerforakt,Night Elf,Druid
60,CSMASTER,Human,Warrior
60,jobber_med_excel,Human,Priest
60,royhugo_tromsø,Dwarf,Hunter
60,roblox13,Dwarf,Priest
60,suavementebesame,Night Elf,Rogue
60,niels_bohr,Human,Rogue
60,Barry56,Human,Paladin
60,InTheShadowOfTheHorns,Human,Paladin
